Date,AAPL,AMZN,BAC,CVX,GOOGL,GS,JNJ,JPM,KO,META,MSFT,NFLX,NVDA,PEP,PFE,TSLA,UNH,V,WMT,XOM
2025-04-30,0.006107623740076784,-0.015849304820837684,-0.0027505389885975617,-0.02325931456026864,-0.00849160566987861,-0.0024958662321931113,0.0025653999949701856,0.0,0.0027644608200043663,-0.009811617951271057,0.0030960356353140206,0.0054013189246651105,-0.0009172551056964018,0.009455955549316775,0.026061333309025603,-0.03379788089732105,0.005400367584759591,0.011653797026880852,0.0125989015212018,-0.025193849118017586
2025-05-01,0.003858872869008989,0.031341496782804956,0.00727167025809794,0.001469969000916782,0.01574299101691179,0.011469365380138541,-0.011835341911884179,0.0092797183697777,-0.01736742968771221,0.042276868489486086,0.07625360233238032,0.001546345883152389,0.024697053835501137,-0.014972798703617674,-0.019664036771707694,-0.005812356915055328,-0.026151968061184583,-0.008827787311550761,0.0016453180815059198,0.0014201476433572946
2025-05-02,-0.03736168747193236,-0.0011566836184702112,0.022404804341991547,0.01643930003782157,0.016925171447372378,0.02215476150033835,0.010747034665279154,0.022763108799828347,0.005049840984574283,0.043358222593530504,0.023225259769653617,0.02030933285085479,0.025893817366504868,0.0014974016202025098,0.011282914520667653,0.023848576584252656,-0.0018967989745491964,0.015038636945589268,0.013756232800363088,0.00406498333325489
2025-05-05,-0.03145853051229541,-0.01910722026349243,0.001217445512688986,-0.021660616984670256,0.001097386519302912,-0.011552776999170122,-0.007173900944511757,0.00019805580048148919,0.0006978397646388856,0.00376868176128875,0.0020446642789406777,-0.01939492606911075,-0.005938933535249991,-0.01315864257114363,-0.013636333279877788,-0.024198258752220814,0.012227360806867704,0.0029919831374780603,0.005873408494379895,-0.027681002472373817
2025-05-06,-0.0019107109228524433,-0.007190832051464091,-0.006809271992686994,0.0007380807664179034,-0.005968120974805258,-0.018228618100959326,-0.003419298800897863,-0.013105802939071154,0.000278875554493796,-0.019957694721975172,-0.0065571838021499795,0.0032008797424118995,-0.0024599231651145637,-0.009470483516425432,-0.04147481789025498,-0.017519458684867262,-0.025444020851983384,-0.0026961812961230347,-0.007852538781674023,0.013943953366354345
2025-05-07,-0.011384769431552866,0.019998985551532122,0.0022037240395786917,0.001401107504044763,-0.07259685214806544,0.004660110630139602,0.018320760740043296,0.0005616221650219799,0.009481424042703912,0.016175556889923115,9.240053830761319e-05,0.015575448650845258,0.031002237470267424,0.009025536646107613,-0.003933420041262847,0.003159597232260225,-0.008745007962841611,0.006183504206194179,0.0028411684741753707,-0.0009550333202774652
2025-05-08,0.006318550430994163,0.01785806262143419,0.016369321597342168,0.009205249191453824,0.01915712028826211,0.024967366976689886,-0.010425972662706062,0.01635998542186301,-0.016988980589598746,0.0020107255795582812,0.011122591909284996,-0.009503116376643472,0.002648230985873523,-0.003714390598920203,0.007898175165609533,0.031134624811778533,-0.014089984741820993,0.004058802365045189,-0.014165751291753348,0.013956649737193905
2025-05-09,0.005266114876452566,0.0051020185245573835,0.004567333476851676,0.010580975072644216,-0.009917172135609498,0.0024745843012239366,-0.009250857195251094,-0.0015386160029075002,-0.009133211885154813,-0.009230777106321364,0.00127813644169672,-0.003678666381605189,-0.006134471915594353,-0.007532488812476368,-0.011535015452577957,0.04718770485146129,-0.012735017505582813,0.003615520822483509,-0.00488717631700053,0.011690364336420567
2025-05-12,0.0631461027687732,0.08070031092964336,0.03756882573257303,0.022600785770876097,0.037381395729283895,0.04274407068695374,-0.0005188652045760023,0.027540647826726383,-0.014038500480418326,0.07922506229872073,0.024001053614186807,-0.026503684286453333,0.05443633946918691,0.00950618892634969,0.03635546646151977,0.06745790403815088,-0.004965317464013963,0.009389060053546894,0.0003101738203927784,0.017239743687984976
2025-05-13,0.0101523900443945,0.01308471882441209,0.02121768404508284,0.005154747125549086,0.006752472473052773,0.02108751349707272,-0.03697933280727972,0.011382434015009713,-0.008197868910875483,0.025960664464475203,-0.0002670863568496884,0.025621637567743605,0.0563414029159095,-0.010404028437304147,-0.00952792645163092,0.049280740626853614,-0.17787464193730973,0.0024770444191806185,-0.008992251630348114,0.00274830179442076
2025-05-14,-0.002817877344742037,-0.005298742220089303,0.010388379686543603,-0.004777030108978009,0.036607465847176224,0.012901421198215024,-0.014012306663682916,0.009999763422798846,0.0029003586713518548,0.005075890100651792,0.008460519095237817,0.011023832910874276,0.0416377797663503,-0.014273571292561904,-0.03716655940108238,0.04073991993646375,-0.010822621190925696,0.0008984237334868084,0.00990824926900613,-0.008952920279054366
2025-05-15,-0.004144584871868751,-0.024161720956264898,-0.008046412618155974,0.004164707296555381,-0.008526200996681776,0.007030913691798535,0.022205357631774225,0.006964038031785025,0.03542491267728032,-0.023477355563322422,0.0022562022478378463,0.023449356818550537,-0.0037681199952365185,0.023744660010528884,0.026339536098151095,-0.013978329078298546,-0.10928216122206058,0.01638332391713515,-0.0049571432162542894,0.010140418100014204
